Policy,Channel k,Channel Count (N_k),No-ACK Count,RX1 ACK Count,RX2 ACK Count
UCBRx1,0,82,3,78,1
UCBRx1,1,24,3,20,1
UCBRx1,2,101,4,96,1
UCBRx1,3,24,3,20,1
UCBRx1,4,24,3,20,1
UCBRx1,5,253,11,240,2
UCBRx1,6,190,3,185,2
UCBRx1,7,302,9,291,2
UCBRx1,Total,1000,39,950,11
UCB,0,88,4,44,40
UCB,1,35,3,10,22
UCB,2,103,4,63,36
UCB,3,35,3,28,4
UCB,4,35,3,20,12
UCB,5,264,9,250,5
UCB,6,174,6,154,14
UCB,7,266,12,249,5
UCB,Total,1000,44,818,138
Standard,0,120,15,80,25
Standard,1,150,20,109,21
Standard,2,120,15,85,20
Standard,3,150,25,113,12
Standard,4,150,30,107,13
Standard,5,105,15,86,4
Standard,6,100,10,86,4
Standard,7,105,20,81,4
Standard,Total,1000,150,747,103
