Timestamp(ms),Current(uA),D0-D7
105934.01,328.475,00000000
105934.02,324.418,00000000
105934.03,323.517,00000000
105934.04,326.221,00000000
105934.05,327.573,00000000
105934.06,329.377,00000000
105934.07,332.987,00000000
105934.08,331.181,00000000
105934.09,329.377,00000000
105934.1,326.671,00000000
105934.11,323.517,00000000
105934.12,325.770,00000000
105934.13,328.926,00000000
105934.14,332.084,00000000
105934.15,328.926,00000000
105934.16,328.926,00000000
105934.17,325.319,00000000
105934.18,323.517,00000000
105934.19,325.770,00000000
105934.2,327.122,00000000
105934.21,327.122,00000000
105934.22,331.181,00000000
105934.23,330.730,00000000
105934.24,325.319,00000000
105934.25,323.517,00000000
105934.26,323.967,00000000
105934.27,324.418,00000000
105934.28,325.319,00000000
105934.29,329.377,00000000
105934.3,329.828,00000000
105934.31,328.024,00000000
105934.32,325.770,00000000
105934.33,323.517,00000000
105934.34,323.517,00000000
105934.35,324.418,00000000
105934.36,327.122,00000000
105934.37,329.377,00000000
105934.38,328.926,00000000
105934.39,327.573,00000000
105934.4,324.418,00000000
105934.41,324.418,00000000
105934.42,325.770,00000000
105934.43,327.573,00000000
105934.44,328.024,00000000
105934.45,330.730,00000000
105934.46,328.926,00000000
105934.47,324.868,00000000
105934.48,323.517,00000000
105934.49,323.066,00000000
105934.5,326.221,00000000
105934.51,326.221,00000000
105934.52,330.730,00000000
105934.53,329.828,00000000
105934.54,327.573,00000000
105934.55,324.418,00000000
105934.56,323.066,00000000
105934.57,324.418,00000000
105934.58,329.377,00000000
105934.59,329.377,00000000
105934.6,330.279,00000000
105934.61,330.279,00000000
105934.62,326.221,00000000
105934.63,323.517,00000000
105934.64,324.868,00000000
105934.65,325.319,00000000
105934.66,328.475,00000000
105934.67,329.828,00000000
105934.68,331.633,00000000
105934.69,330.279,00000000
105934.7,325.770,00000000
105934.71,325.319,00000000
105934.72,327.122,00000000
105934.73,328.475,00000000
105934.74,328.024,00000000
105934.75,332.987,00000000
105934.76,331.633,00000000
105934.77,328.475,00000000
105934.78,326.221,00000000
105934.79,327.122,00000000
105934.8,328.024,00000000
105934.81,330.279,00000000
105934.82,331.181,00000000
105934.83,332.084,00000000
105934.84,330.279,00000000
105934.85,325.319,00000000
105934.86,323.517,00000000
105934.87,327.122,00000000
105934.88,330.279,00000000
105934.89,330.279,00000000
105934.9,331.633,00000000
105934.91,332.987,00000000
105934.92,328.475,00000000
105934.93,326.221,00000000
105934.94,325.319,00000000
105934.95,326.221,00000000
105934.96,328.926,00000000
105934.97,332.084,00000000
105934.98,331.633,00000000
105934.99,331.181,00000000
105935,327.573,00000000
105935.01,326.221,00000000
105935.02,325.319,00000000
105935.03,328.475,00000000
105935.04,332.987,00000000
105935.05,332.987,00000000
105935.06,332.987,00000000
105935.07,328.926,00000000
105935.08,325.770,00000000
105935.09,324.868,00000000
105935.1,326.221,00000000
105935.11,327.122,00000000
105935.12,328.926,00000000
105935.13,331.181,00000000
105935.14,331.181,00000000
105935.15,327.122,00000000
105935.16,325.770,00000000
105935.17,325.770,00000000
105935.18,327.573,00000000
105935.19,329.828,00000000
105935.2,332.084,00000000
105935.21,332.084,00000000
105935.22,331.181,00000000
105935.23,325.319,00000000
105935.24,324.868,00000000
105935.25,328.475,00000000
105935.26,329.377,00000000
105935.27,332.987,00000000
105935.28,332.535,00000000
105935.29,331.633,00000000
105935.3,331.181,00000000
105935.31,326.671,00000000
105935.32,328.475,00000000
105935.33,330.279,00000000
105935.34,330.730,00000000
105935.35,333.438,00000000
105935.36,332.084,00000000
105935.37,330.730,00000000
105935.38,326.221,00000000
105935.39,325.319,00000000
105935.4,327.573,00000000
105935.41,329.828,00000000
105935.42,329.828,00000000
105935.43,332.084,00000000
105935.44,332.535,00000000
105935.45,328.926,00000000
105935.46,325.770,00000000
105935.47,325.319,00000000
105935.48,328.926,00000000
105935.49,328.475,00000000
105935.5,332.987,00000000
105935.51,332.535,00000000
105935.52,330.730,00000000
105935.53,327.573,00000000
105935.54,326.221,00000000
