Timestamp(ms),Current(uA),D0-D7
164837.25,338.858,00000000
164837.26,337.050,00000000
164837.27,336.599,00000000
164837.28,337.954,00000000
164837.29,336.147,00000000
164837.3,337.502,00000000
164837.31,336.147,00000000
164837.32,337.954,00000000
164837.33,336.599,00000000
164837.34,335.244,00000000
164837.35,337.954,00000000
164837.36,336.147,00000000
164837.37,337.502,00000000
164837.38,339.309,00000000
164837.39,336.599,00000000
164837.4,337.954,00000000
164837.41,336.599,00000000
164837.42,338.406,00000000
164837.43,337.954,00000000
164837.44,336.599,00000000
164837.45,336.599,00000000
164837.46,339.309,00000000
164837.47,337.050,00000000
164837.48,336.599,00000000
164837.49,338.406,00000000
164837.5,337.502,00000000
164837.51,339.309,00000000
164837.52,338.406,00000000
164837.53,338.406,00000000
164837.54,336.147,00000000
164837.55,337.954,00000000
164837.56,338.406,00000000
164837.57,338.858,00000000
164837.58,338.406,00000000
164837.59,339.309,00000000
164837.6,338.406,00000000
164837.61,338.406,00000000
164837.62,337.050,00000000
164837.63,337.502,00000000
164837.64,337.502,00000000
164837.65,337.954,00000000
164837.66,335.695,00000000
164837.67,337.050,00000000
164837.68,337.502,00000000
164837.69,338.406,00000000
164837.7,338.406,00000000
164837.71,338.406,00000000
164837.72,336.147,00000000
164837.73,338.858,00000000
164837.74,337.954,00000000
164837.75,338.406,00000000
164837.76,337.050,00000000
164837.77,337.502,00000000
164837.78,339.761,00000000
164837.79,336.599,00000000
164837.8,336.147,00000000
164837.81,337.502,00000000
164837.82,337.954,00000000
164837.83,337.954,00000000
164837.84,336.599,00000000
164837.85,337.502,00000000
164837.86,337.954,00000000
164837.87,337.954,00000000
164837.88,337.050,00000000
164837.89,337.502,00000000
164837.9,337.954,00000000
164837.91,336.599,00000000
164837.92,339.309,00000000
164837.93,337.502,00000000
164837.94,337.050,00000000
164837.95,339.309,00000000
164837.96,337.954,00000000
164837.97,336.147,00000000
164837.98,338.406,00000000
164837.99,336.599,00000000
164838,337.050,00000000
164838.01,336.147,00000000
164838.02,337.502,00000000
164838.03,337.954,00000000
164838.04,336.599,00000000
164838.05,337.954,00000000
164838.06,338.858,00000000
164838.07,338.406,00000000
164838.08,338.406,00000000
164838.09,337.050,00000000
164838.1,337.050,00000000
164838.11,338.406,00000000
164838.12,337.954,00000000
164838.13,339.761,00000000
164838.14,336.147,00000000
164838.15,336.147,00000000
164838.16,337.050,00000000
164838.17,335.695,00000000
164838.18,337.050,00000000
164838.19,337.050,00000000
164838.2,337.502,00000000
164838.21,337.502,00000000
164838.22,338.858,00000000
164838.23,338.406,00000000
164838.24,337.050,00000000
164838.25,338.858,00000000
164838.26,338.406,00000000
164838.27,338.406,00000000
164838.28,338.858,00000000
164838.29,339.309,00000000
164838.3,340.665,00000000
164838.31,341.117,00000000
164838.32,341.117,00000000
164838.33,340.665,00000000
164838.34,340.213,00000000
164838.35,339.309,00000000
164838.36,338.858,00000000
164838.37,338.858,00000000
164838.38,337.502,00000000
164838.39,338.406,00000000
164838.4,338.406,00000000
164838.41,336.599,00000000
164838.42,337.050,00000000
164838.43,338.406,00000000
164838.44,337.954,00000000
164838.45,337.954,00000000
164838.46,337.954,00000000
164838.47,337.050,00000000
164838.48,337.954,00000000
164838.49,338.406,00000000
164838.5,337.502,00000000
164838.51,337.954,00000000
164838.52,339.309,00000000
164838.53,339.309,00000000
164838.54,336.599,00000000
164838.55,337.502,00000000
164838.56,338.858,00000000
164838.57,339.309,00000000
