Timestamp(ms),Current(uA),D0-D7
272291.38,332.084,00000000
272291.39,332.084,00000000
272291.4,333.438,00000000
272291.41,333.438,00000000
272291.42,332.987,00000000
272291.43,332.535,00000000
272291.44,332.535,00000000
272291.45,332.987,00000000
272291.46,332.084,00000000
272291.47,332.987,00000000
272291.48,332.535,00000000
272291.49,332.987,00000000
272291.5,333.438,00000000
272291.51,333.889,00000000
272291.52,333.438,00000000
272291.53,334.792,00000000
272291.54,334.341,00000000
272291.55,334.341,00000000
272291.56,334.792,00000000
272291.57,333.438,00000000
272291.58,334.792,00000000
272291.59,336.599,00000000
272291.6,335.695,00000000
272291.61,332.535,00000000
272291.62,333.438,00000000
272291.63,332.987,00000000
272291.64,333.438,00000000
272291.65,333.889,00000000
272291.66,334.792,00000000
272291.67,334.341,00000000
272291.68,333.889,00000000
272291.69,332.987,00000000
272291.7,334.341,00000000
272291.71,336.147,00000000
272291.72,335.695,00000000
272291.73,334.792,00000000
272291.74,335.695,00000000
272291.75,336.147,00000000
272291.76,333.438,00000000
272291.77,334.792,00000000
272291.78,335.244,00000000
272291.79,335.244,00000000
272291.8,333.889,00000000
272291.81,334.341,00000000
272291.82,332.987,00000000
272291.83,332.987,00000000
272291.84,333.438,00000000
272291.85,333.889,00000000
272291.86,333.889,00000000
272291.87,334.341,00000000
272291.88,334.792,00000000
272291.89,333.438,00000000
272291.9,333.889,00000000
272291.91,335.244,00000000
272291.92,335.695,00000000
272291.93,337.050,00000000
272291.94,335.695,00000000
272291.95,333.438,00000000
272291.96,335.695,00000000
272291.97,335.244,00000000
272291.98,334.341,00000000
272291.99,334.341,00000000
272292,333.889,00000000
272292.01,335.244,00000000
272292.02,332.535,00000000
272292.03,334.792,00000000
272292.04,333.438,00000000
272292.05,334.792,00000000
272292.06,333.889,00000000
272292.07,332.084,00000000
272292.08,333.438,00000000
272292.09,333.438,00000000
272292.1,332.987,00000000
272292.11,333.889,00000000
272292.12,334.341,00000000
272292.13,332.535,00000000
272292.14,334.792,00000000
272292.15,334.792,00000000
272292.16,334.341,00000000
272292.17,334.792,00000000
272292.18,334.341,00000000
272292.19,334.792,00000000
272292.2,333.889,00000000
272292.21,337.050,00000000
272292.22,333.889,00000000
272292.23,335.244,00000000
272292.24,336.147,00000000
272292.25,334.341,00000000
272292.26,337.050,00000000
272292.27,334.341,00000000
272292.28,335.695,00000000
272292.29,333.889,00000000
272292.3,334.792,00000000
272292.31,335.244,00000000
272292.32,334.792,00000000
272292.33,336.599,00000000
272292.34,336.147,00000000
272292.35,337.954,00000000
272292.36,337.050,00000000
272292.37,336.147,00000000
272292.38,336.147,00000000
272292.39,337.502,00000000
272292.4,336.599,00000000
272292.41,337.050,00000000
272292.42,338.406,00000000
272292.43,337.954,00000000
272292.44,337.502,00000000
272292.45,336.599,00000000
272292.46,336.147,00000000
272292.47,336.599,00000000
272292.48,337.502,00000000
272292.49,336.599,00000000
272292.5,338.406,00000000
272292.51,335.244,00000000
272292.52,335.244,00000000
272292.53,336.599,00000000
272292.54,336.599,00000000
272292.55,337.050,00000000
272292.56,335.695,00000000
272292.57,335.695,00000000
272292.58,336.147,00000000
272292.59,337.050,00000000
272292.6,336.147,00000000
272292.61,337.502,00000000
272292.62,337.954,00000000
272292.63,337.050,00000000
272292.64,336.147,00000000
272292.65,338.406,00000000
272292.66,337.502,00000000
272292.67,337.050,00000000
272292.68,338.858,00000000
272292.69,336.147,00000000
272292.7,337.954,00000000
272292.71,337.502,00000000
272292.72,337.050,00000000
272292.73,338.406,00000000
272292.74,338.858,00000000
272292.75,337.502,00000000
272292.76,337.502,00000000
272292.77,337.954,00000000
272292.78,339.309,00000000
272292.79,339.309,00000000
272292.8,338.858,00000000
272292.81,338.406,00000000
272292.82,335.244,00000000
272292.83,338.406,00000000
272292.84,337.050,00000000
272292.85,337.502,00000000
272292.86,336.147,00000000
272292.87,337.050,00000000
272292.88,337.954,00000000
272292.89,337.954,00000000
272292.9,338.406,00000000
272292.91,338.406,00000000
272292.92,337.502,00000000
272292.93,338.406,00000000
272292.94,338.406,00000000
272292.95,336.147,00000000
272292.96,337.954,00000000
272292.97,338.406,00000000
272292.98,337.954,00000000
272292.99,337.954,00000000
272293,337.954,00000000
272293.01,338.406,00000000
272293.02,337.954,00000000
272293.03,337.050,00000000
272293.04,339.309,00000000
272293.05,340.213,00000000
272293.06,338.406,00000000
272293.07,336.147,00000000
272293.08,338.406,00000000
272293.09,338.858,00000000
272293.1,336.147,00000000
272293.11,338.406,00000000
272293.12,337.954,00000000
272293.13,338.406,00000000
272293.14,338.858,00000000
272293.15,337.050,00000000
272293.16,338.406,00000000
272293.17,339.761,00000000
272293.18,337.050,00000000
272293.19,338.858,00000000
272293.2,336.147,00000000
272293.21,337.954,00000000
272293.22,338.858,00000000
272293.23,337.050,00000000
272293.24,336.599,00000000
272293.25,338.406,00000000
272293.26,339.309,00000000
272293.27,338.406,00000000
272293.28,337.954,00000000
272293.29,338.858,00000000
272293.3,338.858,00000000
272293.31,337.954,00000000
272293.32,338.406,00000000
272293.33,339.309,00000000
272293.34,338.858,00000000
272293.35,340.213,00000000
272293.36,339.761,00000000
272293.37,338.858,00000000
272293.38,339.761,00000000
272293.39,340.213,00000000
272293.4,339.761,00000000
272293.41,339.761,00000000
272293.42,340.213,00000000
272293.43,337.050,00000000
272293.44,338.858,00000000
272293.45,339.309,00000000
272293.46,339.309,00000000
272293.47,338.858,00000000
272293.48,338.858,00000000
272293.49,340.213,00000000
272293.5,338.858,00000000
272293.51,338.858,00000000
272293.52,338.406,00000000
272293.53,337.954,00000000
272293.54,338.406,00000000
272293.55,337.502,00000000
272293.56,338.406,00000000
272293.57,336.147,00000000
272293.58,339.309,00000000
272293.59,339.309,00000000
272293.6,337.954,00000000
272293.61,337.954,00000000
272293.62,339.309,00000000
272293.63,339.761,00000000
272293.64,338.858,00000000
272293.65,338.858,00000000
272293.66,338.858,00000000
272293.67,339.309,00000000
272293.68,337.954,00000000
272293.69,339.309,00000000
272293.7,340.213,00000000
272293.71,339.761,00000000
272293.72,342.022,00000000
272293.73,340.213,00000000
272293.74,339.761,00000000
272293.75,340.665,00000000
272293.76,340.213,00000000
272293.77,339.309,00000000
272293.78,337.050,00000000
272293.79,340.213,00000000
272293.8,340.213,00000000
272293.81,338.406,00000000
272293.82,336.147,00000000
272293.83,339.761,00000000
272293.84,337.050,00000000
272293.85,340.213,00000000
272293.86,339.761,00000000
272293.87,339.309,00000000
272293.88,338.858,00000000
272293.89,338.858,00000000
272293.9,341.117,00000000
272293.91,337.954,00000000
272293.92,340.213,00000000
272293.93,338.406,00000000
272293.94,337.954,00000000
272293.95,338.406,00000000
272293.96,337.954,00000000
272293.97,340.213,00000000
272293.98,338.406,00000000
272293.99,339.309,00000000
272294,338.406,00000000
272294.01,339.309,00000000
272294.02,338.406,00000000
272294.03,337.954,00000000
272294.04,337.502,00000000
272294.05,337.954,00000000
272294.06,339.761,00000000
272294.07,337.954,00000000
272294.08,339.761,00000000
272294.09,339.309,00000000
272294.1,340.213,00000000
272294.11,339.309,00000000
272294.12,342.022,00000000
272294.13,340.213,00000000
272294.14,339.761,00000000
272294.15,339.761,00000000
272294.16,339.309,00000000
272294.17,338.858,00000000
272294.18,337.954,00000000
272294.19,339.761,00000000
272294.2,337.050,00000000
272294.21,337.954,00000000
272294.22,340.213,00000000
272294.23,338.406,00000000
272294.24,339.309,00000000
272294.25,338.858,00000000
272294.26,337.954,00000000
272294.27,338.858,00000000
272294.28,338.406,00000000
272294.29,338.858,00000000
272294.3,338.406,00000000
272294.31,338.858,00000000
272294.32,336.147,00000000
272294.33,338.406,00000000
272294.34,338.406,00000000
272294.35,338.406,00000000
272294.36,338.858,00000000
272294.37,338.406,00000000
272294.38,337.954,00000000
272294.39,338.406,00000000
272294.4,339.761,00000000
272294.41,337.502,00000000
272294.42,338.406,00000000
272294.43,338.406,00000000
272294.44,339.309,00000000
272294.45,337.050,00000000
272294.46,337.954,00000000
272294.47,338.406,00000000
272294.48,339.309,00000000
272294.49,340.213,00000000
272294.5,338.406,00000000
272294.51,338.858,00000000
272294.52,338.858,00000000
272294.53,339.309,00000000
272294.54,338.406,00000000
272294.55,338.406,00000000
272294.56,339.309,00000000
272294.57,337.954,00000000
272294.58,338.406,00000000
272294.59,338.858,00000000
272294.6,339.309,00000000
272294.61,338.858,00000000
272294.62,338.406,00000000
272294.63,338.406,00000000
