Timestamp(ms),Current(uA),D0-D7
39636.38,205.475,00000000
39636.39,205.034,00000000
39636.4,205.034,00000000
39636.41,205.034,00000000
39636.42,205.915,00000000
39636.43,206.355,00000000
39636.44,204.594,00000000
39636.45,203.714,00000000
39636.46,205.034,00000000
39636.47,205.034,00000000
39636.48,205.034,00000000
39636.49,205.915,00000000
39636.5,206.355,00000000
39636.51,203.273,00000000
39636.52,205.034,00000000
39636.53,205.475,00000000
39636.54,204.154,00000000
39636.55,205.034,00000000
39636.56,204.154,00000000
39636.57,205.915,00000000
39636.58,205.034,00000000
39636.59,206.355,00000000
39636.6,204.594,00000000
39636.61,205.034,00000000
39636.62,206.355,00000000
39636.63,205.034,00000000
39636.64,205.034,00000000
39636.65,205.915,00000000
39636.66,206.355,00000000
39636.67,204.594,00000000
39636.68,204.154,00000000
39636.69,204.154,00000000
39636.7,203.273,00000000
39636.71,203.714,00000000
39636.72,203.273,00000000
39636.73,206.355,00000000
39636.74,205.475,00000000
39636.75,205.034,00000000
39636.76,205.034,00000000
39636.77,204.594,00000000
39636.78,204.154,00000000
39636.79,205.475,00000000
39636.8,204.154,00000000
39636.81,204.154,00000000
39636.82,205.034,00000000
39636.83,205.475,00000000
39636.84,207.236,00000000
39636.85,206.355,00000000
39636.86,205.475,00000000
39636.87,206.355,00000000
39636.88,206.355,00000000
39636.89,205.034,00000000
39636.9,205.475,00000000
39636.91,205.915,00000000
39636.92,205.915,00000000
39636.93,205.475,00000000
39636.94,206.355,00000000
39636.95,204.154,00000000
39636.96,206.355,00000000
39636.97,205.915,00000000
39636.98,205.915,00000000
39636.99,205.915,00000000
39637,206.796,00000000
39637.01,207.236,00000000
39637.02,205.915,00000000
39637.03,208.117,00000000
39637.04,208.117,00000000
39637.05,206.796,00000000
39637.06,207.677,00000000
39637.07,207.677,00000000
39637.08,207.236,00000000
39637.09,207.236,00000000
39637.1,207.677,00000000
39637.11,207.236,00000000
39637.12,206.796,00000000
39637.13,205.915,00000000
39637.14,205.034,00000000
39637.15,207.236,00000000
39637.16,205.475,00000000
39637.17,205.915,00000000
39637.18,205.475,00000000
39637.19,205.475,00000000
39637.2,203.273,00000000
39637.21,204.594,00000000
39637.22,204.154,00000000
39637.23,205.475,00000000
39637.24,205.034,00000000
39637.25,205.034,00000000
39637.26,206.355,00000000
39637.27,206.355,00000000
39637.28,206.355,00000000
39637.29,207.677,00000000
39637.3,206.796,00000000
39637.31,206.355,00000000
39637.32,206.796,00000000
39637.33,205.034,00000000
39637.34,206.355,00000000
39637.35,206.355,00000000
39637.36,207.236,00000000
39637.37,207.677,00000000
39637.38,206.796,00000000
39637.39,206.796,00000000
39637.4,205.915,00000000
39637.41,205.915,00000000
39637.42,207.236,00000000
39637.43,208.558,00000000
39637.44,208.117,00000000
39637.45,206.355,00000000
39637.46,206.355,00000000
39637.47,207.677,00000000
39637.48,205.915,00000000
39637.49,208.117,00000000
39637.5,208.558,00000000
39637.51,207.236,00000000
39637.52,208.117,00000000
39637.53,207.677,00000000
39637.54,207.677,00000000
39637.55,208.999,00000000
39637.56,208.558,00000000
39637.57,210.321,00000000
39637.58,208.117,00000000
39637.59,211.643,00000000
39637.6,210.321,00000000
39637.61,210.321,00000000
39637.62,209.880,00000000
39637.63,210.321,00000000
39637.64,209.439,00000000
39637.65,208.558,00000000
39637.66,210.321,00000000
39637.67,209.880,00000000
39637.68,210.761,00000000
39637.69,210.321,00000000
39637.7,207.236,00000000
