Timestamp(ms),Current(uA),D0-D7
6498.01,319.913,00000000
6498.02,321.264,00000000
6498.03,321.264,00000000
6498.04,323.066,00000000
6498.05,321.715,00000000
6498.06,322.165,00000000
6498.07,322.616,00000000
6498.08,322.165,00000000
6498.09,323.066,00000000
6498.1,321.715,00000000
6498.11,323.517,00000000
6498.12,321.264,00000000
6498.13,319.913,00000000
6498.14,320.814,00000000
6498.15,319.913,00000000
6498.16,322.616,00000000
6498.17,321.715,00000000
6498.18,322.616,00000000
6498.19,321.264,00000000
6498.2,321.715,00000000
6498.21,319.913,00000000
6498.22,322.165,00000000
6498.23,321.264,00000000
6498.24,321.715,00000000
6498.25,321.264,00000000
6498.26,322.616,00000000
6498.27,319.463,00000000
6498.28,321.715,00000000
6498.29,320.814,00000000
6498.3,322.165,00000000
6498.31,322.165,00000000
6498.32,321.264,00000000
6498.33,320.364,00000000
6498.34,322.165,00000000
6498.35,321.264,00000000
6498.36,320.364,00000000
6498.37,321.264,00000000
6498.38,320.814,00000000
6498.39,319.913,00000000
6498.4,320.814,00000000
6498.41,320.364,00000000
6498.42,321.715,00000000
6498.43,321.264,00000000
6498.44,322.165,00000000
6498.45,320.814,00000000
6498.46,321.264,00000000
6498.47,321.715,00000000
6498.48,321.264,00000000
6498.49,319.913,00000000
6498.5,319.913,00000000
6498.51,320.814,00000000
6498.52,319.013,00000000
6498.53,321.715,00000000
6498.54,319.463,00000000
6498.55,320.814,00000000
6498.56,321.264,00000000
6498.57,321.715,00000000
6498.58,320.364,00000000
6498.59,319.013,00000000
6498.6,319.913,00000000
6498.61,319.463,00000000
6498.62,320.814,00000000
6498.63,319.013,00000000
6498.64,320.814,00000000
6498.65,320.814,00000000
6498.66,322.165,00000000
6498.67,321.715,00000000
6498.68,322.165,00000000
6498.69,321.264,00000000
6498.7,322.165,00000000
6498.71,319.913,00000000
6498.72,322.165,00000000
6498.73,323.066,00000000
6498.74,323.066,00000000
6498.75,322.616,00000000
6498.76,322.165,00000000
6498.77,322.616,00000000
6498.78,323.517,00000000
6498.79,321.715,00000000
6498.8,323.517,00000000
6498.81,321.715,00000000
6498.82,323.517,00000000
6498.83,321.715,00000000
6498.84,321.715,00000000
6498.85,323.066,00000000
6498.86,323.967,00000000
6498.87,323.066,00000000
6498.88,322.165,00000000
6498.89,320.814,00000000
6498.9,319.463,00000000
6498.91,321.264,00000000
6498.92,321.715,00000000
6498.93,323.066,00000000
6498.94,323.517,00000000
6498.95,323.517,00000000
6498.96,320.814,00000000
6498.97,320.364,00000000
6498.98,319.463,00000000
6498.99,321.715,00000000
6499,320.814,00000000
6499.01,319.913,00000000
6499.02,321.715,00000000
6499.03,321.715,00000000
6499.04,320.814,00000000
6499.05,320.814,00000000
6499.06,322.165,00000000
6499.07,320.364,00000000
6499.08,321.264,00000000
6499.09,320.814,00000000
6499.1,322.165,00000000
6499.11,321.264,00000000
6499.12,320.814,00000000
6499.13,321.264,00000000
6499.14,319.913,00000000
6499.15,322.165,00000000
6499.16,321.715,00000000
6499.17,319.913,00000000
6499.18,322.616,00000000
6499.19,323.066,00000000
6499.2,321.715,00000000
6499.21,323.066,00000000
6499.22,322.165,00000000
6499.23,321.715,00000000
6499.24,320.364,00000000
6499.25,319.913,00000000
6499.26,320.364,00000000
6499.27,320.814,00000000
6499.28,319.913,00000000
6499.29,321.264,00000000
